"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CAD_5mon","CAD_7mon","CBB_5mon","CBB_7mon","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","CAD_3mon","CBB_3mon","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","root_weight_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_GM9108-5_36",2,36,5,4,"test"," (Operator: lizbethpino, Time: )","GM9108-5","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,37.54101436,NA,195,38.95833333,6,100,38.9583333333333,14.6253535110833,18.7,4,1,NA,40,NA,10,25,3,220,30,6,2,1,2,2,55,4900,582,0,25,1,2,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_GM9124-13_34",2,34,5,2,"test"," (Operator: lizbethpino, Time: )","GM9124-13","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,35.66782321,NA,130,23.95833333,6,100,23.9583333333333,8.54541597739583,11.5,3,1,NA,25,NA,8,25,3,170,30,6,3,1,3,3,37,3900,427,3,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_SM1127-8_41",2,41,6,8,"test"," (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,33.98683443,NA,170,36.04166667,6,64,36.0416666666667,12.2494215758125,17.3,3,1,NA,34,NA,8,25,3,245,30,6,2,1,1,2,48,4575,462,1,16,1,3,1,3
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_SM1759-29_29",2,29,4,4,"test"," (Operator: lizbethpino, Time: )","SM1759-29","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,35.21695706,NA,180,34.375,6,100,34.375,12.105828989375,16.5,4,1,NA,34,NA,10,25,2,200,30,6,3,1,2,3,34,3600,386,11,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_SM2775-4_33",2,33,5,1,"check"," (Operator: lizbethpino, Time: )","SM2775-4_is_Bellotti","check_released",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,37.40704376,NA,90,36.875,6,100,36.875,13.7938473865,17.7,4,1,NA,45,NA,10,25,2,210,30,6,3,1,1,3,57,4250,502,0,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_SM2828-28_47",2,47,6,2,"test"," (Operator: lizbethpino, Time: )","SM2828-28","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,34.65414905,NA,110,21.66666667,6,100,21.6666666666667,7.50839896083333,10.4,3,1,NA,26,NA,8,25,3,190,30,6,3,1,2,3,55,4225,441,0,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_SM3386-49_38",2,38,5,6,"test"," (Operator: lizbethpino, Time: )","SM3386-49","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,35.55331788,NA,85,30.625,6,100,30.625,10.88820360075,14.7,3,1,NA,50,NA,6,25,4,160,20,6,2,1,2,3,87,4600,501,0,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_SM3387-40_26",2,26,4,7,"test"," (Operator: lizbethpino, Time: )","SM3387-40","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,33.77461087,NA,110,21.875,6,100,21.875,7.3881961278125,10.5,3,1,NA,27,NA,10,25,3,210,30,6,2,1,2,2,34,4925,492,3,25,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_SM3553-27_42",2,42,6,7,"test"," (Operator: lizbethpino, Time: )","SM3553-27","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,33.75457946,NA,190,26.04166667,6,96,26.0416666666667,8.79025506770833,12.5,4,1,NA,48,NA,8,25,4,220,30,6,3,1,2,3,59,4900,489,1,24,1,3,1,1
2021,"202167DVPRC_polo","202167DVPRC_polo",5,4,"2021-August-26","2022-September-02","Polonuevo. Atlantico, Colombia",NA,"202167DVPRC_polo_rep2_SM3559-11_37",2,37,5,5,"test"," (Operator: lizbethpino, Time: )","SM3559-11","test",10.76666667,-74.85,NA,"Atlantico","Colombia","Subhumid lowland tropics","polo",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,36.76422455,NA,110,30,6,100,30,11.029267365,14.4,4,1,NA,32,NA,8,25,4,175,30,6,1,1,2,3,62,4750,546,0,25,1,3,1,1
